"시도별","요양기관종별","입원·외래별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"계","계","계","청구건수[건]","건","35412828","43182043","52328214","54112804","55149003","55691654","57742687","60301351","66066455","69258049","71958058","75142942","76120236","80816859","78518925","81787710",
"계","계","계","내원일수[일]","일","53286387","53885614","53756320","55619321","56600137","57106617","57880742","60344912","66071517","69166762","71721000","74805645","75730949","80319193","77939868","81199049",
"계","계","계","요양급여비용[천원]","천원","1126302476","1168785636","1201207172","1304197130","1444815232","1540757513","1674108482","2016772931","2516555749","2976485848","3611357747","4106237383","4329080678","4999873475","4994197572","5347065138",
"계","계","계","급여비[천원]","천원","778693013","809287069","836458461","907631652","1005344519","1070110204","1156684854","1374916932","1700063079","1964225961","2311801302","2613274963","2963501734","3511199860","3506499616","3754812787",
"계","계","치과입원","청구건수[건]","건","16341","17436","17492","18104","20185","22670","23912","27283","30236","30415","32548","34202","35283","34949","30788","30788",
"계","계","치과입원","내원일수[일]","일","125221","130847","127458","122823","121496","107472","106030","115048","115549","105633","103238","105664","115115","109277","95309","94218",
"계","계","치과입원","요양급여비용[천원]","천원","14466106","17006984","16443054","17699495","17811965","17924716","18350498","19260260","20812843","22111894","24321389","27359865","32143775","35142248","35049828","37547112",
"계","계","치과입원","급여비[천원]","천원","11558273","13567776","12927773","13908493","14123682","14280034","14581429","15325243","16610009","17626181","19222169","21221515","25207986","27577813","27677960","29624853",
"계","계","치과외래","청구건수[건]","건","35396487","43164607","52310722","54094700","55128818","55668984","57718775","60274068","66036219","69227634","71925510","75108740","76084953","80781910","78488137","81756922",
"계","계","치과외래","내원일수[일]","일","53161166","53754767","53628862","55496498","56478641","56999145","57774712","60229864","65955968","69061129","71617762","74699981","75615834","80209916","77844559","81104831",
"계","계","치과외래","요양급여비용[천원]","천원","1111836371","1151778651","1184764118","1286497635","1427003268","1522832797","1655757984","1997512671","2495742906","2954373954","3587036357","4078877518","4296936903","4964731227","4959147744","5309518026",
"계","계","치과외래","급여비[천원]","천원","767134740","795719293","823530688","893723159","991220837","1055830169","1142103425","1359591689","1683453069","1946599780","2292579133","2592053448","2938293748","3483622046","3478821656","3725187934",
"서울특별시","계","계","청구건수[건]","건","8238205","10096315","12208807","12647119","13078284","13246694","13753201","14212795","15983817","16570814","17141567","17944259","18034903","19124090","18269673","19049529",
"서울특별시","계","계","내원일수[일]","일","12303363","12590103","12647178","13104594","13512965","13708925","13794526","14217759","15986302","16543842","17078455","17855471","17937539","19001752","18118763","18902999",
"서울특별시","계","계","요양급여비용[천원]","천원","266195652","281371414","290061603","316365819","354811204","382743262","407902040","478788429","612177256","715758078","861740546","987984057","1029783026","1185981150","1181842175","1266560885",
